timestamp,gaze,iris_score,norm_iris_movement,posture_score,head_tilt,shoulder_angle
21:34:19,Looking Center,92,0.0757,58,-84.69,-0.68
21:34:19,Looking Center,92,0.076,58,-84.69,-0.68
21:34:19,Looking Center,92,0.0719,58,-84.65,-1.02
21:34:19,Looking Center,92,0.0703,58,-85.32,-1.02
21:34:19,Looking Center,93,0.0679,58,-85.32,-1.02
21:34:19,Looking Center,93,0.0678,58,-85.32,-1.02
21:34:19,Looking Center,93,0.0678,58,-85.96,-1.36
21:34:19,Looking Center,93,0.0663,57,-86.63,-1.38
21:34:19,Looking Center,93,0.0675,57,-87.32,-1.73
21:34:19,Looking Center,93,0.0683,57,-87.63,-1.74
21:34:19,Looking Center,92,0.0705,56,-88.32,-2.78
21:34:20,Looking Center,92,0.0723,56,-88.98,-2.78
21:34:20,Looking Center,92,0.0731,56,-89.66,-3.12
21:34:20,Looking Center,93,0.0688,55,-90.35,-3.47
21:34:20,Looking Center,93,0.0652,55,-90.35,-3.47
21:34:20,Looking Center,93,0.0631,55,-90.7,-3.79
21:34:20,Looking Center,93,0.0619,54,-92.13,-3.79
21:34:20,Looking Center,93,0.0608,54,-92.83,-4.13
21:34:20,Looking Center,94,0.0594,54,-93.58,-4.13
21:34:20,Looking Center,94,0.0578,53,-95.23,-3.79
21:34:20,Looking Center,94,0.0556,53,-95.56,-3.43
21:34:20,Looking Center,94,0.0542,52,-96.47,-3.43
21:34:20,Looking Center,94,0.0518,52,-96.47,-3.43
21:34:20,Looking Center,95,0.0487,52,-97.27,-3.77
21:34:20,Looking Center,95,0.0497,52,-97.27,-3.77
21:34:20,Looking Center,95,0.0496,51,-98.19,-4.11
21:34:20,Looking Center,94,0.0516,53,-95.09,-4.11
21:34:21,Looking Center,94,0.0525,54,-93.53,-4.11
21:34:21,Looking Center,94,0.0548,54,-92.34,-4.48
21:34:21,Looking Center,94,0.0537,54,-92.34,-4.48
21:34:21,Looking Center,94,0.0547,54,-92.31,-4.48
21:34:21,Looking Center,94,0.0523,55,-91.51,-4.82
21:34:21,Looking Center,94,0.0523,55,-91.49,-4.82
21:34:21,Looking Center,94,0.0503,55,-91.49,-4.82
21:34:21,Looking Center,94,0.0514,55,-91.49,-5.51
21:34:21,Looking Center,95,0.0494,55,-90.74,-5.51
21:34:21,Looking Center,95,0.0496,55,-90.0,-5.85
21:34:21,Looking Center,95,0.0496,56,-89.64,-6.15
21:34:21,Looking Center,95,0.0483,57,-87.83,-6.19
21:34:21,Looking Center,95,0.0471,57,-86.49,-6.53
21:34:21,Looking Center,95,0.0449,58,-85.12,-6.87
21:34:21,Looking Center,95,0.0418,58,-84.08,-6.91
21:34:21,Looking Center,96,0.0356,59,-83.51,-7.25
21:34:21,Looking Center,96,0.037,59,-83.51,-7.25
21:34:22,Looking Center,96,0.0383,59,-83.17,-7.3
21:34:22,Looking Center,96,0.0394,59,-82.58,-7.3
21:34:22,Looking Center,96,0.0398,60,-81.92,-7.98
21:34:22,Looking Center,96,0.0396,60,-81.25,-8.08
21:34:22,Looking Center,96,0.0391,61,-79.99,-8.53
21:34:22,Looking Center,96,0.0381,61,-79.67,-8.58
21:34:22,Looking Center,95,0.0414,61,-79.28,-8.28
21:34:22,Looking Center,95,0.0482,61,-79.61,-8.33
21:34:22,Looking Center,94,0.0552,61,-79.01,-7.98
21:34:22,Looking Center,93,0.0629,61,-79.61,-7.62
21:34:22,Looking Center,93,0.069,60,-80.43,-7.26
21:34:22,Looking Center,92,0.0736,59,-83.27,-7.26
21:34:22,Looking Center,92,0.0755,58,-84.83,-7.57
21:34:22,Looking Center,92,0.0776,57,-86.46,-7.17
